Year,Site,Plot,Trtmnt,Predator,Block,Burrow_I,Burrow_F,BurrowCh,Burrow,Cover_I,Cover_F,Cover,Biomass_F,Biomass,OM_I,OM_F,OMCh,OM,Nitrogen_I,Nitrogen_F,Nitrogen,Mineral_I,Mineral_F,MineralCh,Mineral
2015,Farm River,B1,Control,0,Farm1,3,9,6,2,0.95,0.7,-0.263157895,364.2,3.642,0.297945205,0.25,-0.047945205,-0.160919539,0.018929802,0.005490552,-0.709951979,,,,
2015,Farm River,B2,Control,0,Farm2,19,9,-10,-0.526315789,0.9,0.6,-0.333333333,,,0.222634508,0.222727273,9.28E-05,0.000416669,0.009077503,0.013358944,0.471654003,,,,
2015,Farm River,B3,Control,0,Farm3,53,24,-29,-0.547169811,1,0.9,-0.1,634.6,6.346,0.375375375,0.367435159,-0.007940216,-0.021152735,0.016456873,0.007551793,-0.541116181,,,,
2015,Farm River,B4,Control,0,Farm4,16,55,39,2.4375,0.9,0.75,-0.166666667,830.2,8.302,0.329308452,0.296610169,-0.032698283,-0.099293786,0.021260345,0.009414782,-0.55716699,,,,
2015,Farm River,B5,Control,0,Farm5,26,24,-2,-0.076923077,0.95,0.85,-0.105263158,924.9,9.249,0.366863905,0.408723748,0.041859843,0.11410183,0.007198723,0.006677525,-0.07240155,,,,
2015,Farm River,B6,Control,0,Farm6,17,9,-8,-0.470588235,0.75,0.95,0.266666667,240.6,2.406,0.387362637,0.461086637,0.073724,0.190322951,,0.009477835,,,,,
2015,Farm River,O1,No Pred,-1,Farm1,28,9,-19,-0.678571429,0.9,0.9,0,,,0.205909511,0.135227273,-0.070682238,-0.343268447,0.014715154,0.011436045,-0.222838953,,,,
2015,Farm River,O2,No Pred,-1,Farm2,28,13,-15,-0.535714286,0.85,0.55,-0.352941176,,,0.205908684,0.196172249,-0.009736435,-0.047285208,0.039525186,0.013669713,-0.654151831,,,,
2015,Farm River,O3,No Pred,-1,Farm3,67,48,-19,-0.28358209,0.9,1,0.111111111,893.5,8.935,0.274922118,0.269018743,-0.005903375,-0.021472899,0.0099663,0.005484614,-0.449684,,,,
2015,Farm River,O4,No Pred,-1,Farm4,71,59,-12,-0.169014085,0.5,0.5,0,271,2.71,0.326381648,0.295518207,-0.030863441,-0.094562428,0.0079544,0.005608344,-0.294938186,,,,
2015,Farm River,O5,No Pred,-1,Farm5,7,2,-5,-0.714285714,0.95,0.7,-0.263157895,498,4.98,0.30198915,0.246592317,-0.055396833,-0.183439812,0.008717034,0.011957004,0.371682616,,,,
2015,Farm River,O6,No Pred,-1,Farm6,6,1,-5,-0.833333333,0.95,0.8,-0.157894737,464.8,4.648,0.28990228,0.292857143,0.002954863,0.010192617,0.006191817,0.007112767,0.148736516,,,,
2015,Farm River,P1,Pred,1,Farm1,6,22,16,2.666666667,0.4,0.6,0.5,337.9,3.379,0.216045845,0.211906449,-0.004139396,-0.019159804,0.009608761,0.007244984,-0.246002298,,,,
2015,Farm River,P2,Pred,1,Farm2,21,15,-6,-0.285714286,0.9,0.85,-0.055555556,,,0.213452299,0.210106383,-0.003345916,-0.01567524,0.007502983,0.006789192,-0.095134297,,,,
2015,Farm River,P3,Pred,1,Farm3,52,54,2,0.038461538,0.8,0.85,0.0625,917.4,9.174,0.28291815,0.261183261,-0.021734889,-0.076823947,0.004272678,0.003788757,-0.113259365,,,,
2015,Farm River,P4,Pred,1,Farm4,56,47,-9,-0.160714286,0.6,0.8,0.333333333,765.9,7.659,0.291151285,0.292063492,0.000912207,0.003133103,0.005656454,0.003557787,-0.371021729,,,,
2015,Farm River,P5,Pred,1,Farm5,18,5,-13,-0.722222222,0.95,0.85,-0.105263158,662.1,6.621,0.375310688,0.204005006,-0.171305682,-0.456436993,0.004461962,0.006257139,0.402329264,,,,
